Plane,GridLine,ElementID,MaxAxial_kN,MaxShear_kN,MaxMoment_kNm
XZ,Ground,1,7.995416459667323,0.14541946871335032,0.33262607017432916
XZ,Ground,2,3.9756069521462027,0.39113083197657,0.7736836474196507
XZ,Ground,3,10.809167080665354,6.778997240968396e-16,1.3888772843113632e-15
XZ,Ground,4,5.448786095707597,4.375942854183252e-16,6.411527777558186e-16
XZ,Ground,5,7.995416459667323,0.1454194687133512,0.33262607017432977
XZ,Ground,6,3.9756069521462027,0.3911308319765701,0.7736836474196513
XZ,Ground,7,0.24571136326321907,1.2801904924788807,1.0788527970670678
XZ,Ground,8,0.245711363263219,1.2801904924788796,1.0788527970670665
XZ,Ground,9,0.39113083197656984,1.3243930478538006,1.1456488866886487
XZ,Ground,10,0.3911308319765698,1.3243930478538004,1.145648886688648
XZ,6,1,7.995416459667323,0.14541946871335032,0.33262607017432916
XZ,6,2,3.9756069521462027,0.39113083197657,0.7736836474196507
XZ,6,3,10.809167080665354,6.778997240968396e-16,1.3888772843113632e-15
XZ,6,4,5.448786095707597,4.375942854183252e-16,6.411527777558186e-16
XZ,6,5,7.995416459667323,0.1454194687133512,0.33262607017432977
XZ,6,6,3.9756069521462027,0.3911308319765701,0.7736836474196513
XZ,6,7,0.24571136326321907,1.2801904924788807,1.0788527970670678
XZ,6,8,0.245711363263219,1.2801904924788796,1.0788527970670665
XZ,6,9,0.39113083197656984,1.3243930478538006,1.1456488866886487
XZ,6,10,0.3911308319765698,1.3243930478538004,1.145648886688648
YZ,Ground,1,8.599999999999998,0.20237869528723512,0.4651717579730043
YZ,Ground,2,4.3,0.6338970542414587,1.274469581481016
YZ,Ground,3,8.599999999999996,0.202378695287236,0.4651717579730045
YZ,Ground,4,4.300000000000001,0.6338970542414594,1.274469581481016
YZ,Ground,5,0.4315183589542232,1.5000000000000022,1.4093418663370947
YZ,Ground,6,0.6338970542414588,1.500000000000001,1.2744695814810165
YZ,5,1,8.599999999999998,0.20237869528723512,0.4651717579730043
YZ,5,2,4.3,0.6338970542414587,1.274469581481016
YZ,5,3,8.599999999999996,0.202378695287236,0.4651717579730045
YZ,5,4,4.300000000000001,0.6338970542414594,1.274469581481016
YZ,5,5,0.4315183589542232,1.5000000000000022,1.4093418663370947
YZ,5,6,0.6338970542414588,1.500000000000001,1.2744695814810165
YZ,10,1,8.599999999999998,0.20237869528723512,0.4651717579730043
YZ,10,2,4.3,0.6338970542414587,1.274469581481016
YZ,10,3,8.599999999999996,0.202378695287236,0.4651717579730045
YZ,10,4,4.300000000000001,0.6338970542414594,1.274469581481016
YZ,10,5,0.4315183589542232,1.5000000000000022,1.4093418663370947
YZ,10,6,0.6338970542414588,1.500000000000001,1.2744695814810165
